Scenario,C,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,IntroScreen.started,IntroScreen.stopped,instructions.started,instructions.stopped,scenario1.started,scenario1.stopped,notAtAll.started,notAtAll.stopped,veryMuch.started,veryMuch.stopped,lastRating,rating.response,rating.rt,rating.started,rating.stopped,riskBehaviorScaleScreen.started,riskBehaviorScaleScreen.stopped,activity.started,activity.stopped,notAtAll2.started,notAtAll2.stopped,ExtremelyLikely.started,ExtremelyLikely.stopped,rating_2.response,rating_2.rt,rating_2.started,rating_2.stopped,riskPerceptionInstructions.started,riskPerceptionInstructions.stopped,participant,session,sex,age,date,expName,psychopyVersion,frameRate,
Locating your car in a very large parking lot or parking garage.,,0,0,0,3,,,,,5.390183964000244,None,6.340276105999692,None,6.840909165000085,None,6.840909165000085,None,6.840909165000085,None,0.2,2,1.88,0.00753078239995375,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
Leaving a store that you have been to for the first time and deciding which way to turn to get to a destination.,,0,1,1,0,,,,,,,,,8.739774132000093,None,8.739774132000093,None,8.739774132000093,None,0.2,2,0.85,0.00965941240065149,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
Finding your way around in an unfamiliar mall.,,0,2,2,6,,,,,,,,,9.606171438000274,None,9.606171438000274,None,9.606171438000274,None,0.2,2,0.992,0.003281233699453878,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
"Pointing in the direction of a place outside that someone wants to get to and has asked you for directions, when you are in a windowless room.",,0,3,3,2,,,,,,,,,10.623614768000152,None,10.623614768000152,None,10.623614768000152,None,0.2,2,0.97,0.015316960400014068,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
Finding your way to an appointment in an area of a city or town with which you are not familiar. ,,0,4,4,7,,,,,,,,,11.623015858999679,None,11.623015858999679,None,11.623015858999679,None,0.2,2,0.955,0.016623296400211984,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
Trying a new route that you think will be a shortcut without the benefit of a map.,,0,5,5,4,,,,,,,,,12.606568059999518,None,12.606568059999518,None,12.606568059999518,None,0.2,2,1.209,0.0029364266993070487,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
Finding your way back to a familiar area after realizing you have made a wrong turn and become lost while driving.,,0,6,6,5,,,,,,,,,13.83961956999974,None,13.83961956999974,None,13.83961956999974,None,0.2,2,1.038,0.00022194869870872935,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
Finding your way out of a complex arrangement of offices that you have visited for the first time.,,0,7,7,1,,,,,,,,,14.907200302000092,None,14.907200302000092,None,14.907200302000092,None,0.4,3,1.006,0.016533145399989735,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
,Admitting that your tastes are different from those of your friends. (S),,,,,0,0,0,0,,,,,,,,,,,,,,,,15.956387162999818,None,17.690538947000277,None,17.690538947000277,None,17.690538947000277,None,3,2.392,0.004012962800516107,None,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
,"Going camping in the wilderness, beyond the civilization of a campgound. (R) ",,,,,0,1,1,1,,,,,,,,,,,,,,,,,,20.08964160599953,None,20.08964160599953,None,20.08964160599953,None,4,1.239,0.00016866070018295432,None,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
,Betting a day's income at the horse races. (G),,,,,0,2,2,2,,,,,,,,,,,,,,,,,,21.356141399999615,None,21.356141399999615,None,21.356141399999615,None,5,1.375,0.0041395447005925234,None,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
,Buying a illegal drug for your own use. (H),,,,,0,3,3,3,,,,,,,,,,,,,,,,,,22.75674678699943,None,22.75674678699943,None,22.75674678699943,None,5,1.506,0.0035726627002077294,None,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
,Cheating on an exam. (E),,,,,0,4,4,4,,,,,,,,,,,,,,,,,,24.28957050400004,None,24.28957050400004,None,24.28957050400004,None,3,1.112,0.006572357699042186,None,,,,001,,,2020_Oct_27_1536,Big5,2020.2.4,59.979892340678724,
