Scenario,C,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,IntroScreen.started,IntroScreen.stopped,instructions.started,instructions.stopped,scenario1.started,scenario1.stopped,notAtAll.started,notAtAll.stopped,veryMuch.started,veryMuch.stopped,lastRating,rating.response,rating.rt,rating.started,rating.stopped,riskBehaviorScaleScreen.started,riskBehaviorScaleScreen.stopped,activity.started,activity.stopped,notAtAll2.started,notAtAll2.stopped,ExtremelyLikely.started,ExtremelyLikely.stopped,rating_2.response,rating_2.rt,rating_2.started,rating_2.stopped,riskPerceptionInstructions.started,riskPerceptionInstructions.stopped,riskPerceptionActivity2.started,riskPerceptionActivity2.stopped,rating_4.response,rating_4.rt,rating_4.started,rating_4.stopped,notAtAllRisky.started,notAtAllRisky.stopped,ExtremelyRisky.started,ExtremelyRisky.stopped,ModeratelyRisky.started,ModeratelyRisky.stopped,participant,session,sex,age,date,expName,psychopyVersion,frameRate,
"Pointing in the direction of a place outside that someone wants to get to and has asked you for directions, when you are in a windowless room.",,0,0,0,2,,,,,,,,,6.25110330500047,None,6.684052188000351,None,7.287898446999861,None,7.287898446999861,None,7.287898446999861,None,0.2,2,1.794,0.005660445599460218,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1543,Big5,2020.2.4,59.817034764680166,
Locating your car in a very large parking lot or parking garage.,,0,1,1,3,,,,,,,,,,,,,9.08814076500039,None,9.08814076500039,None,9.08814076500039,None,0.2,2,0.82,0.013292798599650268,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1543,Big5,2020.2.4,59.817034764680166,
Finding your way out of a complex arrangement of offices that you have visited for the first time.,,0,2,2,1,,,,,,,,,,,,,9.937079925000035,None,9.937079925000035,None,9.937079925000035,None,0.2,2,0.803,0.014165145599690732,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1543,Big5,2020.2.4,59.817034764680166,
Trying a new route that you think will be a shortcut without the benefit of a map.,,0,3,3,4,,,,,,,,,,,,,10.770322463999946,None,10.770322463999946,None,10.770322463999946,None,0.2,2,0.84,0.0026740118009911384,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1543,Big5,2020.2.4,59.817034764680166,
Finding your way to an appointment in an area of a city or town with which you are not familiar. ,,0,4,4,7,,,,,,,,,,,,,11.637223405999976,None,11.637223405999976,None,11.637223405999976,None,0.2,2,0.691,0.003383183799996914,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1543,Big5,2020.2.4,59.817034764680166,
Leaving a store that you have been to for the first time and deciding which way to turn to get to a destination.,,0,5,5,0,,,,,,,,,,,,,12.354746388000422,None,12.354746388000422,None,12.354746388000422,None,0.2,2,0.642,0.0035286818001623033,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1543,Big5,2020.2.4,59.817034764680166,
Finding your way around in an unfamiliar mall.,,0,6,6,6,,,,,,,,,,,,,13.020538329999908,None,13.020538329999908,None,13.020538329999908,None,0.2,2,0.66,0.005415793799329549,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1543,Big5,2020.2.4,59.817034764680166,
Finding your way back to a familiar area after realizing you have made a wrong turn and become lost while driving.,,0,7,7,5,,,,,,,,,,,,,13.70402883800034,None,13.70402883800034,None,13.70402883800034,None,0.2,2,0.64,0.001053685800798121,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1543,Big5,2020.2.4,59.817034764680166,
,Admitting that your tastes are different from those of your friends. (S),,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,14.387434430000212,None,15.270308414999818,None,15.270308414999818,None,15.270308414999818,None,3,2.517,0.01205428360026417,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1543,Big5,2020.2.4,59.817034764680166,
,"Going camping in the wilderness, beyond the civilization of a campground. (R) ",,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,17.803974884000127,None,17.803974884000127,None,17.803974884000127,None,3,0.738,0.016257346600468736,None,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1543,Big5,2020.2.4,59.817034764680166,
