Scenario,C,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,Charac,IntroScreen.started,IntroScreen.stopped,instructions.started,instructions.stopped,scenario1.started,scenario1.stopped,notAtAll.started,notAtAll.stopped,veryMuch.started,veryMuch.stopped,lastRating,rating.response,rating.rt,rating.started,rating.stopped,riskBehaviorScaleScreen.started,riskBehaviorScaleScreen.stopped,activity.started,activity.stopped,notAtAll2.started,notAtAll2.stopped,ExtremelyLikely.started,ExtremelyLikely.stopped,rating_2.response,rating_2.rt,rating_2.started,rating_2.stopped,riskPerceptionInstructions.started,riskPerceptionInstructions.stopped,riskPerceptionActivity2.started,riskPerceptionActivity2.stopped,rating_4.response,rating_4.rt,rating_4.started,rating_4.stopped,notAtAllRisky.started,notAtAllRisky.stopped,ExtremelyRisky.started,ExtremelyRisky.stopped,ModeratelyRisky.started,ModeratelyRisky.stopped,expBenefits.started,expBenefits.stopped,riskBenefitsScale.started,riskBenefitsScale.stopped,noBenefits.started,noBenefits.stopped,rating_3.response,rating_3.rt,rating_3.started,rating_3.stopped,greatBenefits.started,greatBenefits.stopped,moderateBenefits.started,moderateBenefits.stopped,big5Screen.started,big5Screen.stopped,participant,session,sex,age,date,expName,psychopyVersion,frameRate,
Finding your way to an appointment in an area of a city or town with which you are not familiar. ,,0,0,0,7,,,,,,,,,,,,,,,,,,5.548625581999659,None,5.8326800009999715,None,6.282687855999939,None,6.282687855999939,None,6.282687855999939,None,0.2,2,8.488,0.007566119599687227,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1550,Big5,2020.2.4,59.98919030763741,
Finding your way around in an unfamiliar mall.,,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,14.77517918400008,None,14.77517918400008,None,14.77517918400008,None,0.4,3,1.418,0.014486667600976944,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1550,Big5,2020.2.4,59.98919030763741,
Trying a new route that you think will be a shortcut without the benefit of a map.,,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,16.224276605999876,None,16.224276605999876,None,16.224276605999876,None,0.4,3,0.405,0.0012739913008772419,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1550,Big5,2020.2.4,59.98919030763741,
Locating your car in a very large parking lot or parking garage.,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,16.658158924000418,None,16.658158924000418,None,16.658158924000418,None,0.4,3,0.408,0.0030767573007324245,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1550,Big5,2020.2.4,59.98919030763741,
Finding your way out of a complex arrangement of offices that you have visited for the first time.,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,17.14158917700024,None,17.14158917700024,None,17.14158917700024,None,0.4,3,0.659,0.004507811201619916,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1550,Big5,2020.2.4,59.98919030763741,
"Pointing in the direction of a place outside that someone wants to get to and has asked you for directions, when you are in a windowless room.",,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,17.824132280999947,None,17.824132280999947,None,17.824132280999947,None,0.4,3,0.419,0.01558432559886569,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1550,Big5,2020.2.4,59.98919030763741,
Finding your way back to a familiar area after realizing you have made a wrong turn and become lost while driving.,,0,6,6,5,,,,,,,,,,,,,,,,,,,,,,18.275053944999854,None,18.275053944999854,None,18.275053944999854,None,0.4,3,0.44,0.001137183299761091,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1550,Big5,2020.2.4,59.98919030763741,
Leaving a store that you have been to for the first time and deciding which way to turn to get to a destination.,,0,7,7,0,,,,,,,,,,,,,,,,,,,,,,18.74090369500027,None,18.74090369500027,None,18.74090369500027,None,0.4,3,0.493,0.0033693762998154853,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1550,Big5,2020.2.4,59.98919030763741,
,Admitting that your tastes are different from those of your friends. (S),,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.274035561000346,None,19.440754596999795,None,19.440754596999795,None,19.440754596999795,None,3,0.621,0.016400075599449337,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1550,Big5,2020.2.4,59.98919030763741,
,"Going camping in the wilderness, beyond the civilization of a campground. (R) ",,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.07444642900009,None,20.07444642900009,None,20.07444642900009,None,3,0.492,0.0022521943001265754,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1550,Big5,2020.2.4,59.98919030763741,
