Scenario,C,Charac,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,IntroScreen.started,IntroScreen.stopped,instructions.started,instructions.stopped,scenario1.started,scenario1.stopped,notAtAll.started,notAtAll.stopped,veryMuch.started,veryMuch.stopped,lastRating,rating.response,rating.rt,rating.started,rating.stopped,riskBehaviorScaleScreen.started,riskBehaviorScaleScreen.stopped,activity.started,activity.stopped,notAtAll2.started,notAtAll2.stopped,ExtremelyLikely.started,ExtremelyLikely.stopped,rating_2.response,rating_2.rt,rating_2.started,rating_2.stopped,riskPerceptionInstructions.started,riskPerceptionInstructions.stopped,riskPerceptionActivity2.started,riskPerceptionActivity2.stopped,rating_4.response,rating_4.rt,rating_4.started,rating_4.stopped,notAtAllRisky.started,notAtAllRisky.stopped,ExtremelyRisky.started,ExtremelyRisky.stopped,ModeratelyRisky.started,ModeratelyRisky.stopped,expBenefits.started,expBenefits.stopped,riskBenefitsScale.started,riskBenefitsScale.stopped,noBenefits.started,noBenefits.stopped,rating_3.response,rating_3.rt,rating_3.started,rating_3.stopped,greatBenefits.started,greatBenefits.stopped,moderateBenefits.started,moderateBenefits.stopped,big5Screen.started,big5Screen.stopped,rating_5.response,rating_5.rt,rating_5.started,rating_5.stopped,characText.started,characText.stopped,Someone.started,Someone.stopped,disagreeStrongly.started,disagreeStrongly.stopped,disagreeALittle.started,disagreeALittle.stopped,Neutral.started,Neutral.stopped,AgreeALittle.started,AgreeALittle.stopped,AgreeStrongly.started,AgreeStrongly.stopped,congratsText.started,congratsText.stopped,participant,session,sex,age,date,expName,psychopyVersion,frameRate,
Finding your way back to a familiar area after realizing you have made a wrong turn and become lost while driving.,,,0,0,0,5,,,,,,,,,,,,,,,,,9.385971331999826,None,10.219816736000212,None,10.619449416999487,None,10.619449416999487,None,10.619449416999487,None,0.2,2,4.558,0.005703318400264834,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
Finding your way to an appointment in an area of a city or town with which you are not familiar. ,,,0,1,1,7,,,,,,,,,,,,,,,,,,,,,15.185445369999798,None,15.185445369999798,None,15.185445369999798,None,0.2,2,0.519,0.013424538399704034,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
Finding your way out of a complex arrangement of offices that you have visited for the first time.,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,15.736093878999782,None,15.736093878999782,None,15.736093878999782,None,0.2,2,0.503,0.0006855026995253866,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
Finding your way around in an unfamiliar mall.,,,0,3,3,6,,,,,,,,,,,,,,,,,,,,,16.26991505099977,None,16.26991505099977,None,16.26991505099977,None,0.2,2,0.52,0.005492230700838263,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
Trying a new route that you think will be a shortcut without the benefit of a map.,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,16.81950891499946,None,16.81950891499946,None,16.81950891499946,None,0.2,2,0.528,0.004224497700306529,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
Leaving a store that you have been to for the first time and deciding which way to turn to get to a destination.,,,0,5,5,0,,,,,,,,,,,,,,,,,,,,,17.368769656999575,None,17.368769656999575,None,17.368769656999575,None,0.2,2,0.405,0.0012876667005912168,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
Locating your car in a very large parking lot or parking garage.,,,0,6,6,3,,,,,,,,,,,,,,,,,,,,,17.802811759999713,None,17.802811759999713,None,17.802811759999713,None,0.2,2,0.472,0.0025326117010990856,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
"Pointing in the direction of a place outside that someone wants to get to and has asked you for directions, when you are in a windowless room.",,,0,7,7,2,,,,,,,,,,,,,,,,,,,,,18.30248129499978,None,18.30248129499978,None,18.30248129499978,None,0.2,2,0.522,0.01645760940027685,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Admitting that your tastes are different from those of your friends. (S),,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.86819281099997,None,19.269326464000187,None,19.269326464000187,None,19.269326464000187,None,2,0.418,0.015939177400468907,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,"Going camping in the wilderness, beyond the civilization of a campground. (R) ",,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.702291433000028,None,19.702291433000028,None,19.702291433000028,None,2,0.509,0.0019871606991728186,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Betting a day's income at the horse races. (G),,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.23651763199996,None,20.23651763199996,None,20.23651763199996,None,2,0.42,0.00022314470061246539,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Buying an illegal drug for your own use. (H),,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.68577841699971,None,20.68577841699971,None,20.68577841699971,None,2,0.405,0.0032358027001464507,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
,Cheating on an exam. (E),,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.119476932999532,None,21.119476932999532,None,21.119476932999532,None,2,0.41,0.00453039570038527,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_27_1556,Big5,2020.2.4,59.96508904471478,
