Scenario,C,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,IntroScreen.started,IntroScreen.stopped,instructions.started,instructions.stopped,scenario1.started,scenario1.stopped,notAtAll.started,notAtAll.stopped,veryMuch.started,veryMuch.stopped,lastRating,rating.response,rating.rt,rating.started,rating.stopped,riskBehaviorScaleScreen.started,riskBehaviorScaleScreen.stopped,activity.started,activity.stopped,notAtAll2.started,notAtAll2.stopped,ExtremelyLikely.started,ExtremelyLikely.stopped,rating2.response,rating2.rt,rating2.started,rating2.stopped,Rating,participant,session,sex,age,date,expName,psychopyVersion,frameRate,
Finding your way around in an unfamiliar mall.,,0,0,0,6,,,,,7.837635939999927,None,8.720128918999762,None,9.23677009199946,None,9.23677009199946,None,9.23677009199946,None,0.2,2,1.806,0.014395715999853564,None,,,,,,,,,,,,,,,001,,,2020_Oct_27_1604,Big5,2020.2.4,59.90524727148911,
Leaving a store that you have been to for the first time and deciding which way to turn to get to a destination.,,0,1,1,0,,,,,,,,,11.073786721999568,None,11.073786721999568,None,11.073786721999568,None,0.4,3,0.748,0.009637823000048229,None,,,,,,,,,,,,,,,001,,,2020_Oct_27_1604,Big5,2020.2.4,59.90524727148911,
Finding your way back to a familiar area after realizing you have made a wrong turn and become lost while driving.,,0,2,2,5,,,,,,,,,11.839371768999627,None,11.839371768999627,None,11.839371768999627,None,0.6000000000000001,4,0.867,0.015569777999189682,None,,,,,,,,,,,,,,,001,,,2020_Oct_27_1604,Big5,2020.2.4,59.90524727148911,
Finding your way to an appointment in an area of a city or town with which you are not familiar. ,,0,3,3,7,,,,,,,,,12.740095016999476,None,12.740095016999476,None,12.740095016999476,None,0.8,5,1.155,5.6409999160678126e-05,None,,,,,,,,,,,,,,,001,,,2020_Oct_27_1604,Big5,2020.2.4,59.90524727148911,
Finding your way out of a complex arrangement of offices that you have visited for the first time.,,0,4,4,1,,,,,,,,,13.92401802599943,None,13.92401802599943,None,13.92401802599943,None,0.4,3,0.857,0.00014488899978459813,None,,,,,,,,,,,,,,,001,,,2020_Oct_27_1604,Big5,2020.2.4,59.90524727148911,
"Pointing in the direction of a place outside that someone wants to get to and has asked you for directions, when you are in a windowless room.",,0,5,5,2,,,,,,,,,14.806418527999995,None,14.806418527999995,None,14.806418527999995,None,0.2,2,0.837,0.015316369999709423,None,,,,,,,,,,,,,,,001,,,2020_Oct_27_1604,Big5,2020.2.4,59.90524727148911,
Locating your car in a very large parking lot or parking garage.,,0,6,6,3,,,,,,,,,15.673999284999809,None,15.673999284999809,None,15.673999284999809,None,0.6000000000000001,4,0.856,0.0018453789998602588,None,,,,,,,,,,,,,,,001,,,2020_Oct_27_1604,Big5,2020.2.4,59.90524727148911,
Trying a new route that you think will be a shortcut without the benefit of a map.,,0,7,7,4,,,,,,,,,16.557470486000057,None,16.557470486000057,None,16.557470486000057,None,0.4,3,0.891,0.003364391999639338,None,,,,,,,,,,,,,,,001,,,2020_Oct_27_1604,Big5,2020.2.4,59.90524727148911,
,Admitting that your tastes are different from those of your friends. (S),,,,,0,0,0,0,,,,,,,,,,,,,,,,17.49021107199951,None,18.40652435999982,None,18.40652435999982,None,18.40652435999982,None,3,1.108,0.0008569070005250978,None,2.0,,001,,,2020_Oct_27_1604,Big5,2020.2.4,59.90524727148911,
,"Going camping in the wilderness, beyond the civilization of a campground. (R) ",,,,,0,1,1,1,,,,,,,,,,,,,,,,,,19.590261579999606,None,19.590261579999606,None,19.590261579999606,None,2,0.76,0.0063873950002744095,None,1.0,,001,,,2020_Oct_27_1604,Big5,2020.2.4,59.90524727148911,
