Scenario,C,Charac,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,IntroScreen.started,IntroScreen.stopped,instructions.started,instructions.stopped,scenario1.started,scenario1.stopped,notAtAll.started,notAtAll.stopped,veryMuch.started,veryMuch.stopped,lastRating,rating.response,rating.rt,rating.started,rating.stopped,riskBehaviorScaleScreen.started,riskBehaviorScaleScreen.stopped,activity.started,activity.stopped,notAtAll2.started,notAtAll2.stopped,ExtremelyLikely.started,ExtremelyLikely.stopped,rating2.response,rating2.rt,rating2.started,rating2.stopped,Rating,riskPerceptionInstructions.started,riskPerceptionInstructions.stopped,riskPerceptionActivity2.started,riskPerceptionActivity2.stopped,rating3.response,rating3.rt,rating3.started,rating3.stopped,notAtAllRisky.started,notAtAllRisky.stopped,ModeratelyRisky.started,ModeratelyRisky.stopped,ExtremelyRisky.started,ExtremelyRisky.stopped,expBenefits.started,expBenefits.stopped,riskBenefitsScale.started,riskBenefitsScale.stopped,noBenefits.started,noBenefits.stopped,rating4.response,rating4.rt,rating4.started,rating4.stopped,greatBenefits.started,greatBenefits.stopped,moderateBenefits.started,moderateBenefits.stopped,big5Screen.started,big5Screen.stopped,rating5.response,rating5.rt,rating5.started,rating5.stopped,characText.started,characText.stopped,Someone.started,Someone.stopped,disagreeStrongly.started,disagreeStrongly.stopped,disagreeALittle.started,disagreeALittle.stopped,Neutral.started,Neutral.stopped,AgreeALittle.started,AgreeALittle.stopped,AgreeStrongly.started,AgreeStrongly.stopped,participant,session,sex,age,date,expName,psychopyVersion,frameRate,
Finding your way back to a familiar area after realizing you have made a wrong turn and become lost while driving.,,,0,0,0,5,,,,,,,,,,,,,,,,,5.688139927005977,None,6.237120588004473,None,6.677689875999931,None,6.677689875999931,None,6.677689875999931,None,0.4,3,2.899,0.009512740405625664,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
Finding your way around in an unfamiliar mall.,,,0,1,1,6,,,,,,,,,,,,,,,,,,,,,9.596259445999749,None,9.596259445999749,None,9.596259445999749,None,0.4,3,0.417,0.01604511638288386,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
Leaving a store that you have been to for the first time and deciding which way to turn to get to a destination.,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,10.044668686998193,None,10.044668686998193,None,10.044668686998193,None,0.4,3,0.469,0.0047061361983651295,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
Trying a new route that you think will be a shortcut without the benefit of a map.,,,0,3,3,4,,,,,,,,,,,,,,,,,,,,,10.544210136999027,None,10.544210136999027,None,10.544210136999027,None,0.4,3,0.41,0.004148660198552534,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
Finding your way to an appointment in an area of a city or town with which you are not familiar. ,,,0,4,4,7,,,,,,,,,,,,,,,,,,,,,10.977952840999933,None,10.977952840999933,None,10.977952840999933,None,0.4,3,0.457,0.001409936201525852,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
Finding your way out of a complex arrangement of offices that you have visited for the first time.,,,0,5,5,1,,,,,,,,,,,,,,,,,,,,,11.461447545996634,None,11.461447545996634,None,11.461447545996634,None,0.4,3,0.41,0.004691666195867583,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
Locating your car in a very large parking lot or parking garage.,,,0,6,6,3,,,,,,,,,,,,,,,,,,,,,11.895097945001908,None,11.895097945001908,None,11.895097945001908,None,0.4,3,0.463,0.0016920702037168667,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
"Pointing in the direction of a place outside that someone wants to get to and has asked you for directions, when you are in a windowless room.",,,0,7,7,2,,,,,,,,,,,,,,,,,,,,,12.395215541007929,None,12.395215541007929,None,12.395215541007929,None,0.4,3,0.407,0.00040483620250597596,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Admitting that your tastes are different from those of your friends. (S),,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.81283687800169,None,12.914288151005167,None,12.914288151005167,None,12.914288151005167,None,3,0.405,0.016474661402753554,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,"Going camping in the wilderness, beyond the civilization of a campground. (R) ",,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.345111189002637,None,13.345111189002637,None,13.345111189002637,None,3,0.488,0.015408602412207983,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Betting a day's income at the horse races. (G),,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.861701083005755,None,13.861701083005755,None,13.861701083005755,None,3,0.409,0.004080500206327997,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Buying an illegal drug for your own use. (H),,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.295393103995593,None,14.295393103995593,None,14.295393103995593,None,3,0.441,0.004947591194650158,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Cheating on an exam. (E),,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.761554616998183,None,14.761554616998183,None,14.761554616998183,None,3,0.407,0.0037809991918038577,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Chasing a tornado or hurricane by car to take dramatic photos. (R),,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.194610131002264,None,15.194610131002264,None,15.194610131002264,None,3,0.424,0.0017867311835289001,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Investing 10% of your annual income in a moderate growth mutual fund. (I),,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.645233396004187,None,15.645233396004187,None,15.645233396004187,None,3,0.408,0.0029563502030214295,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Consuming five or more servings of alcohol in a single evening. (H),,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.077808374000597,None,16.077808374000597,None,16.077808374000597,None,3,0.504,0.0012612362043000758,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Cheating by a significant amount on your income tax return. (E),,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.612005657996633,None,16.612005657996633,None,16.612005657996633,None,3,0.411,0.006828902187407948,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Disagreeing with your father on a major issue. (S),,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.044835845008492,None,17.044835845008492,None,17.044835845008492,None,3,0.407,0.0030178981978679076,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Betting a day's income at a high stake poker game. (G),,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.47852379400865,None,17.47852379400865,None,17.47852379400865,None,3,0.522,0.0025507251848466694,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
