Scenario,C,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,IntroScreen.started,IntroScreen.stopped,instructions.started,instructions.stopped,scenario1.started,scenario1.stopped,notAtAll.started,notAtAll.stopped,veryMuch.started,veryMuch.stopped,lastRating,rating.response,rating.rt,rating.started,rating.stopped,riskBehaviorScaleScreen.started,riskBehaviorScaleScreen.stopped,activity.started,activity.stopped,notAtAll2.started,notAtAll2.stopped,ExtremelyLikely.started,ExtremelyLikely.stopped,rating2.response,rating2.rt,rating2.started,rating2.stopped,Rating,unlikely.started,unlikely.stopped,neutral.started,neutral.stopped,Likely.started,Likely.stopped,riskPerceptionInstructions.started,riskPerceptionInstructions.stopped,riskPerceptionActivity2.started,riskPerceptionActivity2.stopped,rating3.response,rating3.rt,rating3.started,rating3.stopped,notAtAllRisky.started,notAtAllRisky.stopped,ModeratelyRisky.started,ModeratelyRisky.stopped,ExtremelyRisky.started,ExtremelyRisky.stopped,expBenefits.started,expBenefits.stopped,riskBenefitsScale.started,riskBenefitsScale.stopped,noBenefits.started,noBenefits.stopped,rating4.response,rating4.rt,rating4.started,rating4.stopped,greatBenefits.started,greatBenefits.stopped,moderateBenefits.started,moderateBenefits.stopped,participant,session,sex,age,date,expName,psychopyVersion,frameRate,
Locating your car in a very large parking lot or parking garage.,,0,0,0,3,,,,,,,,,,,,,4.8100210659904405,None,5.145776008997927,None,5.37945465699886,None,5.37945465699886,None,5.37945465699886,None,0.2,2,2.528,0.005311623201123439,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
Trying a new route that you think will be a shortcut without the benefit of a map.,,0,1,1,4,,,,,,,,,,,,,,,,,7.912676143998397,None,7.912676143998397,None,7.912676143998397,None,0.2,2,0.419,0.014227826206479222,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
Finding your way out of a complex arrangement of offices that you have visited for the first time.,,0,2,2,1,,,,,,,,,,,,,,,,,8.362700771991513,None,8.362700771991513,None,8.362700771991513,None,0.2,2,0.539,0.015975780188455246,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
Finding your way to an appointment in an area of a city or town with which you are not familiar. ,,0,3,3,7,,,,,,,,,,,,,,,,,8.928983235993655,None,8.928983235993655,None,8.928983235993655,None,0.2,2,0.41,0.006114993593655527,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
"Pointing in the direction of a place outside that someone wants to get to and has asked you for directions, when you are in a windowless room.",,0,4,4,2,,,,,,,,,,,,,,,,,9.362230425002053,None,9.362230425002053,None,9.362230425002053,None,0.2,2,0.44,0.0013129776052664965,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
Finding your way back to a familiar area after realizing you have made a wrong turn and become lost while driving.,,0,5,5,5,,,,,,,,,,,,,,,,,9.828551168990089,None,9.828551168990089,None,9.828551168990089,None,0.2,2,0.492,0.003823492588708177,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
Leaving a store that you have been to for the first time and deciding which way to turn to get to a destination.,,0,6,6,0,,,,,,,,,,,,,,,,,10.345308092000778,None,10.345308092000778,None,10.345308092000778,None,0.2,2,0.49,0.0035798715834971517,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
Finding your way around in an unfamiliar mall.,,0,7,7,6,,,,,,,,,,,,,,,,,10.863056938003865,None,10.863056938003865,None,10.863056938003865,None,0.2,2,0.495,0.008499970601405948,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,Admitting that your tastes are different from those of your friends. (S),,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,11.363134428000194,None,12.312279001998832,None,12.312279001998832,None,12.312279001998832,None,5,4.49,0.0005133265804033726,None,4.0,12.312279001998832,None,12.312279001998832,None,12.312279001998832,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
,"Going camping in the wilderness, beyond the civilization of a campground. (R) ",,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,16.81233938699006,None,16.81233938699006,None,16.81233938699006,None,5,0.404,0.0029989715985720977,None,4.0,16.81233938699006,None,16.81233938699006,None,16.81233938699006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1738,Big5,2020.2.4,59.880963472554605,
