Scenario,C,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,IntroScreen.started,IntroScreen.stopped,instructions.started,instructions.stopped,scenario1.started,scenario1.stopped,notAtAll.started,notAtAll.stopped,veryMuch.started,veryMuch.stopped,lastRating,rating.response,rating.rt,rating.started,rating.stopped,riskBehaviorScaleScreen.started,riskBehaviorScaleScreen.stopped,activity.started,activity.stopped,notAtAll2.started,notAtAll2.stopped,ExtremelyLikely.started,ExtremelyLikely.stopped,rating2.response,rating2.rt,rating2.started,rating2.stopped,Rating,unlikely.started,unlikely.stopped,neutral.started,neutral.stopped,Likely.started,Likely.stopped,participant,session,sex,age,date,expName,psychopyVersion,frameRate,
Locating your car in a very large parking lot or parking garage.,,0,0,0,3,,,,,6.128697396008647,None,6.5287927520112135,None,6.9289852590009104,None,6.9289852590009104,None,6.9289852590009104,None,0.2,2,1.495,0.005938576199696399,None,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1732,Big5,2020.2.4,59.990179607896465,
Finding your way back to a familiar area after realizing you have made a wrong turn and become lost while driving.,,0,1,1,5,,,,,,,,,8.42897457300569,None,8.42897457300569,None,8.42897457300569,None,0.2,2,0.416,0.012907402197015472,None,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1732,Big5,2020.2.4,59.990179607896465,
"Pointing in the direction of a place outside that someone wants to get to and has asked you for directions, when you are in a windowless room.",,0,2,2,2,,,,,,,,,8.877895750003518,None,8.877895750003518,None,8.877895750003518,None,0.4,3,0.417,0.014766416206839494,None,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1732,Big5,2020.2.4,59.990179607896465,
Finding your way out of a complex arrangement of offices that you have visited for the first time.,,0,3,3,1,,,,,,,,,9.328616229002364,None,9.328616229002364,None,9.328616229002364,None,0.4,3,0.405,0.001881071599200368,None,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1732,Big5,2020.2.4,59.990179607896465,
Leaving a store that you have been to for the first time and deciding which way to turn to get to a destination.,,0,4,4,0,,,,,,,,,9.762135639000917,None,9.762135639000917,None,9.762135639000917,None,0.6000000000000001,4,0.507,0.0016912095888983458,None,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1732,Big5,2020.2.4,59.990179607896465,
Trying a new route that you think will be a shortcut without the benefit of a map.,,0,5,5,4,,,,,,,,,10.295078837007168,None,10.295078837007168,None,10.295078837007168,None,0.6000000000000001,4,0.41,0.005899461611988954,None,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1732,Big5,2020.2.4,59.990179607896465,
Finding your way around in an unfamiliar mall.,,0,6,6,6,,,,,,,,,10.728982811007882,None,10.728982811007882,None,10.728982811007882,None,0.6000000000000001,4,0.408,0.005118188593769446,None,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1732,Big5,2020.2.4,59.990179607896465,
Finding your way to an appointment in an area of a city or town with which you are not familiar. ,,0,7,7,7,,,,,,,,,11.162126395007363,None,11.162126395007363,None,11.162126395007363,None,0.6000000000000001,4,0.407,0.00349071659729816,None,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1732,Big5,2020.2.4,59.990179607896465,
,Admitting that your tastes are different from those of your friends. (S),,,,,0,0,0,0,,,,,,,,,,,,,,,,11.578887612005929,None,11.696015834007994,None,11.696015834007994,None,11.696015834007994,None,4,0.757,0.00028621758974622935,None,3.0,11.696015834007994,None,11.696015834007994,None,11.696015834007994,None,,001,,,2020_Oct_30_1732,Big5,2020.2.4,59.990179607896465,
,Arguing with a friend who has a very different opinion on an issue. (S),,,,,0,1,1,1,,,,,,,,,,,,,,,,,,12.478304832009599,None,12.478304832009599,None,12.478304832009599,None,4,0.409,0.00550688459770754,None,3.0,12.478304832009599,None,12.478304832009599,None,12.478304832009599,None,,001,,,2020_Oct_30_1732,Big5,2020.2.4,59.990179607896465,
