Scenario,C,Charac,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,IntroScreen.started,IntroScreen.stopped,instructions.started,instructions.stopped,scenario1.started,scenario1.stopped,notAtAll.started,notAtAll.stopped,veryMuch.started,veryMuch.stopped,lastRating,rating.response,rating.rt,rating.started,rating.stopped,riskBehaviorScaleScreen.started,riskBehaviorScaleScreen.stopped,activity.started,activity.stopped,notAtAll2.started,notAtAll2.stopped,ExtremelyLikely.started,ExtremelyLikely.stopped,rating2.response,rating2.rt,rating2.started,rating2.stopped,Rating,unlikely.started,unlikely.stopped,neutral.started,neutral.stopped,Likely.started,Likely.stopped,riskPerceptionInstructions.started,riskPerceptionInstructions.stopped,riskPerceptionActivity2.started,riskPerceptionActivity2.stopped,rating3.response,rating3.rt,rating3.started,rating3.stopped,notAtAllRisky.started,notAtAllRisky.stopped,ModeratelyRisky.started,ModeratelyRisky.stopped,ExtremelyRisky.started,ExtremelyRisky.stopped,expBenefits.started,expBenefits.stopped,riskBenefitsScale.started,riskBenefitsScale.stopped,noBenefits.started,noBenefits.stopped,rating4.response,rating4.rt,rating4.started,rating4.stopped,greatBenefits.started,greatBenefits.stopped,moderateBenefits.started,moderateBenefits.stopped,big5Screen.started,big5Screen.stopped,rating5.response,rating5.rt,rating5.started,rating5.stopped,characText.started,characText.stopped,Someone.started,Someone.stopped,disagreeStrongly.started,disagreeStrongly.stopped,disagreeALittle.started,disagreeALittle.stopped,Neutral.started,Neutral.stopped,AgreeALittle.started,AgreeALittle.stopped,AgreeStrongly.started,AgreeStrongly.stopped,congratsText.started,congratsText.stopped,participant,session,sex,age,date,expName,psychopyVersion,frameRate,
Locating your car in a very large parking lot or parking garage.,,,0,0,0,3,,,,,,,,,,,,,,,,,5.714426941995043,None,6.098027771993657,None,6.598115189990494,None,6.598115189990494,None,6.598115189990494,None,0.2,2,1.861,0.004822382616112009,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
Finding your way to an appointment in an area of a city or town with which you are not familiar. ,,,0,1,1,7,,,,,,,,,,,,,,,,,,,,,8.48183145999792,None,8.48183145999792,None,8.48183145999792,None,0.4,3,0.487,0.015568439601338468,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
Leaving a store that you have been to for the first time and deciding which way to turn to get to a destination.,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,8.997242108991486,None,8.997242108991486,None,8.997242108991486,None,0.4,3,0.455,0.0014615043037338182,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
Trying a new route that you think will be a shortcut without the benefit of a map.,,,0,3,3,4,,,,,,,,,,,,,,,,,,,,,9.481193642990547,None,9.481193642990547,None,9.481193642990547,None,0.6000000000000001,4,0.408,0.005552283299039118,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
Finding your way around in an unfamiliar mall.,,,0,4,4,6,,,,,,,,,,,,,,,,,,,,,9.913633743999526,None,9.913633743999526,None,9.913633743999526,None,0.2,2,0.426,0.004049542301800102,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
Finding your way out of a complex arrangement of offices that you have visited for the first time.,,,0,5,5,1,,,,,,,,,,,,,,,,,,,,,10.363748903997475,None,10.363748903997475,None,10.363748903997475,None,0.2,2,0.524,0.0026241953164571896,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
"Pointing in the direction of a place outside that someone wants to get to and has asked you for directions, when you are in a windowless room.",,,0,6,6,2,,,,,,,,,,,,,,,,,,,,,10.913753600994824,None,10.913753600994824,None,10.913753600994824,None,0.4,3,0.489,0.016566724589210935,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
Finding your way back to a familiar area after realizing you have made a wrong turn and become lost while driving.,,,0,7,7,5,,,,,,,,,,,,,,,,,,,,,11.430734287001542,None,11.430734287001542,None,11.430734287001542,None,0.4,3,0.855,0.000745487297535874,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
,Admitting that your tastes are different from those of your friends. (S),,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.297573000992998,None,13.464580549989478,None,13.464580549989478,None,13.464580549989478,None,2,0.918,0.01190657059487421,None,1.0,13.464580549989478,None,13.464580549989478,None,13.464580549989478,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
,Arguing with a friend who has a very different opinion on an issue. (S),,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.397511304996442,None,14.397511304996442,None,14.397511304996442,None,3,0.756,0.00017641429440118372,None,2.0,14.397511304996442,None,14.397511304996442,None,14.397511304996442,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_30_1734,Big5,2020.2.4,59.836302114201246,
