Scenario,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,IntroScreen.started,IntroScreen.stopped,instructions.started,instructions.stopped,scenario1.started,scenario1.stopped,slider.response,slider.rt,slider.started,slider.stopped,notAtAll.started,notAtAll.stopped,veryMuch.started,veryMuch.stopped,participant,session,date,expName,psychopyVersion,frameRate,
"Pointing in the direction of a place outside that someone wants to get to and has asked you for directions, when you are in a windowless room.",0,0,0,2,7.882657696027309,None,8.76612999101053,None,9.39977755700238,None,0.40622222222222226,8.713464404980186,9.39977755700238,None,9.39977755700238,None,9.39977755700238,None,,001,2020_Oct_25_1812,Big5,2020.2.4,60.22550259762205,
Finding your way back to a familiar area after realizing you have made a wrong turn and become lost while driving.,0,1,1,5,,,,,18.12193275001482,None,0.10311111111111111,1.768961419002153,18.12193275001482,None,18.12193275001482,None,18.12193275001482,None,,001,2020_Oct_25_1812,Big5,2020.2.4,60.22550259762205,
Finding your way out of a complex arrangement of offices that you have visited for the first time.,0,2,2,1,,,,,19.921817260008538,None,0.8,0.9560725190094672,19.921817260008538,None,19.921817260008538,None,19.921817260008538,None,,001,2020_Oct_25_1812,Big5,2020.2.4,60.22550259762205,
Trying a new route that you think will be a shortcutt without the benefit of a map.,0,3,3,4,,,,,20.904877258028137,None,0.3191111111111111,1.7582426060107537,20.904877258028137,None,20.904877258028137,None,20.904877258028137,None,,001,2020_Oct_25_1812,Big5,2020.2.4,60.22550259762205,
Finding your way around in an unfamiliar mall.,0,4,4,6,,,,,22.688615793013014,None,0.6080000000000001,0.9922854610194918,22.688615793013014,None,22.688615793013014,None,22.688615793013014,None,,001,2020_Oct_25_1812,Big5,2020.2.4,60.22550259762205,
Leaving a store that you have been to for the first time and deciding which way to turn to get to a destination.,0,5,5,0,,,,,23.70532460301183,None,0.6657777777777778,0.8034756949928124,23.70532460301183,None,23.70532460301183,None,23.70532460301183,None,,001,2020_Oct_25_1812,Big5,2020.2.4,60.22550259762205,
Finding your way out of a complex arrangement of offices that you have visited for the first time.,0,6,6,3,,,,,24.538374950003345,None,0.3235555555555556,1.1747163209947757,24.538374950003345,None,24.538374950003345,None,24.538374950003345,None,,001,2020_Oct_25_1812,Big5,2020.2.4,60.22550259762205,
Finding your way to an appointment in an area of a city or town with which you are not familiar. ,0,7,7,7,,,,,25.73812441001064,None,0.2951111111111111,0.5230685120041016,25.73812441001064,None,25.73812441001064,None,25.73812441001064,None,,001,2020_Oct_25_1812,Big5,2020.2.4,60.22550259762205,
"Pointing in the direction of a place outside that someone wants to get to and has asked you for directions, when you are in a windowless room.",1,0,8,2,,,,,26.288323544024024,None,0.2951111111111111,0.32251796300988644,26.288323544024024,None,26.288323544024024,None,26.288323544024024,None,,001,2020_Oct_25_1812,Big5,2020.2.4,60.22550259762205,
Finding your way back to a familiar area after realizing you have made a wrong turn and become lost while driving.,1,1,9,5,,,,,26.63813242400647,None,0.2951111111111111,0.19147214901749976,26.63813242400647,None,26.63813242400647,None,26.63813242400647,None,,001,2020_Oct_25_1812,Big5,2020.2.4,60.22550259762205,
