Scenario,C,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,IntroScreen.started,IntroScreen.stopped,instructions.started,instructions.stopped,scenario1.started,scenario1.stopped,notAtAll.started,notAtAll.stopped,veryMuch.started,veryMuch.stopped,lastRating,rating.response,rating.rt,rating.started,rating.stopped,riskBehaviorScaleScreen.started,riskBehaviorScaleScreen.stopped,activity.started,activity.stopped,notAtAll2.started,notAtAll2.stopped,ExtremelyLikely.started,ExtremelyLikely.stopped,rating_2.response,rating_2.rt,rating_2.started,rating_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Finding your way back to a familiar area after realizing you have made a wrong turn and become lost while driving.,,0,0,0,5,,,,,7.624629930010997,None,7.9413814630243,None,8.19117298501078,None,8.19117298501078,None,8.19117298501078,None,0.2,2,1.746,0.005200317013077438,None,,,,,,,,,,,,,,001,2020_Oct_26_1702,Big5,2020.2.4,59.89789828319462,
Leaving a store that you have been to for the first time and deciding which way to turn to get to a destination.,,0,1,1,0,,,,,,,,,9.94622532199719,None,9.94622532199719,None,9.94622532199719,None,0.2,2,0.821,0.014355310995597392,None,,,,,,,,,,,,,,001,2020_Oct_26_1702,Big5,2020.2.4,59.89789828319462,
Finding your way out of a complex arrangement of offices that you have visited for the first time.,,0,2,2,1,,,,,,,,,10.795560665021185,None,10.795560665021185,None,10.795560665021185,None,0.2,2,1.006,0.0010999595106113702,None,,,,,,,,,,,,,,001,2020_Oct_26_1702,Big5,2020.2.4,59.89789828319462,
Trying a new route that you think will be a shortcut without the benefit of a map.,,0,3,3,4,,,,,,,,,11.828422117017908,None,11.828422117017908,None,11.828422117017908,None,0.2,2,0.821,0.0007237765239551663,None,,,,,,,,,,,,,,001,2020_Oct_26_1702,Big5,2020.2.4,59.89789828319462,
Finding your way around in an unfamiliar mall.,,0,4,4,6,,,,,,,,,12.678566871007206,None,12.678566871007206,None,12.678566871007206,None,0.2,2,1.708,0.003142239525914192,None,,,,,,,,,,,,,,001,2020_Oct_26_1702,Big5,2020.2.4,59.89789828319462,
Locating your car in a very large parking lot or parking garage.,,0,5,5,3,,,,,,,,,14.412316269008443,None,14.412316269008443,None,14.412316269008443,None,0.2,2,1.027,0.004986095504136756,None,,,,,,,,,,,,,,001,2020_Oct_26_1702,Big5,2020.2.4,59.89789828319462,
Finding your way to an appointment in an area of a city or town with which you are not familiar. ,,0,6,6,7,,,,,,,,,15.461798028001795,None,15.461798028001795,None,15.461798028001795,None,0.2,2,1.14,0.0020001285010948777,None,,,,,,,,,,,,,,001,2020_Oct_26_1702,Big5,2020.2.4,59.89789828319462,
"Pointing in the direction of a place outside that someone wants to get to and has asked you for directions, when you are in a windowless room.",,0,7,7,2,,,,,,,,,16.62933307699859,None,16.62933307699859,None,16.62933307699859,None,0.2,2,1.435,0.01357411005301401,None,,,,,,,,,,,,,,001,2020_Oct_26_1702,Big5,2020.2.4,59.89789828319462,
,Admitting that your tastes are different from those of your friends. (S),,,,,0,0,0,0,,,,,,,,,,,,,,,,18.095856999017997,None,19.195354680996388,None,19.195354680996388,None,19.195354680996388,None,2,1.469,0.013701642019441351,None,,001,2020_Oct_26_1702,Big5,2020.2.4,59.89789828319462,
,"Going camping in the wilderness, beyond the civilization of a campgound. (R) ",,,,,0,1,1,1,,,,,,,,,,,,,,,,,,20.678359954006737,None,20.678359954006737,None,20.678359954006737,None,3,1.04,0.00043387050391174853,None,,001,2020_Oct_26_1702,Big5,2020.2.4,59.89789828319462,
,Betting a day's income at the horse races. (G),,,,,0,2,2,2,,,,,,,,,,,,,,,,,,21.745224556012545,None,21.745224556012545,None,21.745224556012545,None,3,1.374,0.004527684533968568,None,,001,2020_Oct_26_1702,Big5,2020.2.4,59.89789828319462,
,Buying a illegal drug for your own use. (H),,,,,0,3,3,3,,,,,,,,,,,,,,,,,,23.145153014018433,None,23.145153014018433,None,23.145153014018433,None,3,0.745,0.004977488511940464,None,,001,2020_Oct_26_1702,Big5,2020.2.4,59.89789828319462,
,Cheating on an exam. (E),,,,,0,4,4,4,,,,,,,,,,,,,,,,,,23.911776374006877,None,23.911776374006877,None,23.911776374006877,None,3,0.661,0.005889788502827287,None,,001,2020_Oct_26_1702,Big5,2020.2.4,59.89789828319462,
,Chasing tornado or hurricane by care to take dramatic photos. (R),,,,,0,5,5,5,,,,,,,,,,,,,,,,,,24.59570823100512,None,24.59570823100512,None,24.59570823100512,None,3,1.225,0.004972766502760351,None,,001,2020_Oct_26_1702,Big5,2020.2.4,59.89789828319462,
,Investing 10% of your annual income in a moderate growth mutual fund. (I),,,,,0,6,6,6,,,,,,,,,,,,,,,,,,25.845537286018953,None,25.845537286018953,None,25.845537286018953,None,3,0.674,0.0023648985370527953,None,,001,2020_Oct_26_1702,Big5,2020.2.4,59.89789828319462,
,Consuming five or more servings of alcohol in a single evening. (H),,,,,0,7,7,7,,,,,,,,,,,,,,,,,,26.544991513015702,None,26.544991513015702,None,26.544991513015702,None,3,0.741,0.005032814515288919,None,,001,2020_Oct_26_1702,Big5,2020.2.4,59.89789828319462,
,Cheating by a signficiant amount on your income tax return. (E),,,,,0,8,8,8,,,,,,,,,,,,,,,,,,27.312317461008206,None,27.312317461008206,None,27.312317461008206,None,3,0.693,0.0030854365322738886,None,,001,2020_Oct_26_1702,Big5,2020.2.4,59.89789828319462,
,Disagreeing with your father on a major issue. (S),,,,,0,9,9,9,,,,,,,,,,,,,,,,,,28.029350433003856,None,28.029350433003856,None,28.029350433003856,None,3,0.839,0.0015375504735857248,None,,001,2020_Oct_26_1702,Big5,2020.2.4,59.89789828319462,
,Betting a day's income at a high stake poker game. (G),,,,,0,10,10,10,,,,,,,,,,,,,,,,,,28.894841052009724,None,28.894841052009724,None,28.894841052009724,None,3,0.724,0.0035715054837055504,None,,001,2020_Oct_26_1702,Big5,2020.2.4,59.89789828319462,
,Having an affair with a married man or woman. (E),,,,,0,11,11,11,,,,,,,,,,,,,,,,,,29.64552208202076,None,29.64552208202076,None,29.64552208202076,None,3,1.645,0.005433100508525968,None,,001,2020_Oct_26_1702,Big5,2020.2.4,59.89789828319462,
,Forging somebody's signature. (E),,,,,0,12,12,12,,,,,,,,,,,,,,,,,,31.312244321015896,None,31.312244321015896,None,31.312244321015896,None,3,0.793,0.006189530482515693,None,,001,2020_Oct_26_1702,Big5,2020.2.4,59.89789828319462,
